,P030001 Total: Workers 16 years and over,P030005 Total:  Public transportation:
06029005501,2465.0,0.0
06029005503,836.0,0.0
06029005504,5.0,0.0
06029005505,3252.0,22.0
06029005506,1820.0,14.0
06029005600,770.0,0.0
06029005700,3135.0,9.0
06029005800,4193.0,64.0
06029005900,1063.0,0.0
06029006002,0.0,0.0
06029006003,1981.0,0.0
06029006004,440.0,0.0
06029006005,4196.0,2.0
06029006100,2089.0,12.0
06029006201,726.0,8.0
06029006202,512.0,0.0
06029006301,894.0,0.0
06029006302,2165.0,9.0
06029006401,2164.0,0.0
06029006402,2327.0,19.0
06031000100,1349.0,12.0
06031000200,916.0,2.0
06031000300,2696.0,228.0
06031000402,1416.0,0.0
06031000403,2262.0,14.0
06031000404,3035.0,22.0
06031000405,2336.0,46.0
06031000500,1527.0,24.0
06031000601,1404.0,13.0
06031000602,2516.0,15.0
06031000701,2572.0,13.0
06031000702,1690.0,11.0
06031000800,1739.0,14.0
06031000900,2467.0,33.0
06031001001,1154.0,13.0
06031001002,1217.0,50.0
06031001003,1531.0,15.0
06031001100,1536.0,16.0
06031001200,1065.0,0.0
06031001300,881.0,6.0
06031001400,1359.0,40.0
06031001500,1449.0,19.0
06031001601,1330.0,19.0
06031001602,0.0,0.0
06031001701,2497.0,53.0
06031001702,0.0,0.0
06033000100,1077.0,0.0
06033000300,1316.0,13.0
06033000400,2229.0,15.0
06033000500,1608.0,8.0
06033000600,1050.0,0.0
06033000700,1676.0,10.0
